,Company,model,Year,Expert_rating,Symbol
279,chevrolet,Malibu,2018,8.1,GM
280,chevrolet,Tahoe,2018,8.4,GM
281,chevrolet,Tahoe,2014,8.8,GM
282,chevrolet,Malibu,2009,8.4,GM
283,chevrolet,Malibu,2016,8.6,GM
284,chevrolet,Tahoe,2016,8.5,GM
285,chevrolet,Silverado 1500,2017,8.7,GM
286,chevrolet,Silverado 1500,2007,9.0,GM
287,chevrolet,Tahoe,2017,8.4,GM
288,chevrolet,Malibu,2017,8.6,GM
289,chevrolet,Silverado 1500,2016,8.9,GM
290,chevrolet,Malibu,2007,7.8,GM
291,chevrolet,Tahoe,2007,9.4,GM
292,chevrolet,Silverado 1500,2009,8.7,GM
293,chevrolet,Malibu,2014,8.2,GM
294,chevrolet,Tahoe,2011,8.1,GM
295,chevrolet,Tahoe,2019,7.9,GM
296,chevrolet,Silverado 1500,2013,7.9,GM
297,chevrolet,Silverado 1500,2020,8.2,GM
298,chevrolet,Tahoe,2020,7.4,GM
299,chevrolet,Malibu,2020,7.9,GM
300,chevrolet,Silverado 1500,2019,8.4,GM
301,chevrolet,Malibu,2012,8.2,GM
302,chevrolet,Tahoe,2012,8.4,GM
303,chevrolet,Silverado 1500,2012,8.9,GM
304,chevrolet,Malibu,2010,8.4,GM
305,chevrolet,Tahoe,2010,9.1,GM
306,chevrolet,Silverado 1500,2010,8.8,GM
307,chevrolet,Silverado 1500,2021,7.9,GM
308,chevrolet,Tahoe,2021,8.0,GM
309,chevrolet,Malibu,2021,7.5,GM
310,chevrolet,Tahoe,2022,8.3,GM
311,chevrolet,Malibu,2011,8.8,GM
312,chevrolet,Tahoe,2013,8.8,GM
313,chevrolet,Malibu,2013,7.7,GM
314,chevrolet,Tahoe,2008,9.4,GM
315,chevrolet,Malibu,2019,7.8,GM
316,ford,Fusion,2013,8.0,F
317,ford,Explorer,2019,7.3,F
318,ford,F150,2008,8.4,F
319,ford,F150,2010,8.4,F
320,ford,Fusion,2010,9.4,F
321,ford,Fusion,2008,9.0,F
322,ford,Explorer,2008,8.0,F
323,ford,F150,2012,7.9,F
324,ford,Fusion,2012,8.3,F
325,ford,F150,2009,8.9,F
326,ford,Fusion,2009,9.1,F
327,ford,Explorer,2009,8.7,F
328,ford,F150,2013,8.3,F
329,ford,Explorer,2012,7.8,F
330,ford,Fusion,2017,8.1,F
331,ford,Explorer,2017,7.7,F
332,ford,Fusion,2019,8.2,F
333,ford,F150,2019,8.8,F
334,ford,F150,2015,8.7,F
335,ford,Fusion,2015,8.0,F
336,ford,F150,2011,7.9,F
337,ford,Fusion,2011,8.2,F
338,ford,Explorer,2011,8.3,F
339,ford,F150,2022,8.7,F
340,ford,F150,2016,8.6,F
341,ford,Fusion,2016,8.2,F
342,ford,Explorer,2020,7.5,F
343,ford,Explorer,2016,7.6,F
344,ford,F150,2021,8.7,F
345,ford,Explorer,2022,7.7,F
346,ford,F150,2007,8.2,F
347,ford,Fusion,2007,8.9,F
348,ford,Explorer,2007,8.2,F
349,ford,Explorer,2015,7.2,F
350,ford,Explorer,2021,7.7,F
351,ford,Fusion,2020,8.3,F
352,ford,F150,2017,8.5,F
353,ford,Explorer,2010,7.8,F
354,ford,Explorer,2018,7.6,F
355,ford,Fusion,2018,8.3,F
356,ford,F150,2018,8.3,F
357,ford,F150,2020,8.7,F
358,ford,Fusion,2014,8.0,F
359,ford,F150,2014,8.1,F
360,ford,Explorer,2014,7.6,F
361,ford,Explorer,2013,7.2,F
362,honda,Accord,2015,8.0,HMC
363,honda,CRV,2015,8.1,HMC
364,honda,Accord,2018,8.4,HMC
365,honda,Pilot,2015,7.4,HMC
366,honda,CRV,2022,8.8,HMC
367,honda,Pilot,2009,7.9,HMC
368,honda,Accord,2022,8.9,HMC
369,honda,CRV,2010,9.1,HMC
370,honda,Accord,2019,8.1,HMC
371,honda,Accord,2021,8.9,HMC
372,honda,Pilot,2016,8.2,HMC
373,honda,CRV,2016,8.3,HMC
374,honda,Accord,2016,8.0,HMC
375,honda,CRV,2018,8.4,HMC
376,honda,Pilot,2018,8.1,HMC
377,honda,CRV,2021,8.8,HMC
378,honda,Pilot,2021,8.5,HMC
379,honda,Pilot,2007,9.2,HMC
380,honda,Pilot,2011,7.1,HMC
381,honda,CRV,2011,9.0,HMC
382,honda,Accord,2011,8.5,HMC
383,honda,Pilot,2019,7.8,HMC
384,honda,CRV,2019,8.5,HMC
385,honda,Accord,2013,7.7,HMC
386,honda,Pilot,2010,7.8,HMC
387,honda,Accord,2007,9.3,HMC
388,honda,Pilot,2022,8.4,HMC
389,honda,Accord,2014,8.0,HMC
390,honda,Pilot,2013,7.6,HMC
391,honda,Accord,2020,8.7,HMC
392,honda,Pilot,2017,8.2,HMC
393,honda,CRV,2017,8.6,HMC
394,honda,Accord,2017,7.9,HMC
395,honda,CRV,2008,9.2,HMC
396,honda,CRV,2020,8.5,HMC
397,honda,Pilot,2020,8.2,HMC
398,honda,CRV,2007,9.2,HMC
399,honda,Pilot,2012,7.6,HMC
400,honda,CRV,2012,8.3,HMC
401,honda,Accord,2012,8.5,HMC
402,honda,CRV,2009,8.7,HMC
403,honda,Accord,2009,8.4,HMC
404,honda,CRV,2014,8.5,HMC
405,honda,CRV,2013,8.5,HMC
406,honda,Pilot,2008,9.3,HMC
407,honda,Pilot,2014,7.9,HMC
408,honda,Accord,2008,9.2,HMC
409,honda,Accord,2010,8.4,HMC
410,hyundai,Sonata,2008,8.4,HYMTF
411,hyundai,Sonata,2007,8.6,HYMTF
412,hyundai,Santa Fe,2018,8.5,HYMTF
413,hyundai,Sonata,2022,8.2,HYMTF
414,hyundai,Santa Fe,2007,8.0,HYMTF
415,hyundai,Santa Fe,2019,8.5,HYMTF
416,hyundai,Sonata,2017,8.7,HYMTF
417,hyundai,Santa Fe,2017,8.1,HYMTF
418,hyundai,Tucson,2017,8.6,HYMTF
419,hyundai,Tucson,2019,7.9,HYMTF
420,hyundai,Tucson,2018,8.6,HYMTF
421,hyundai,Tucson,2007,7.6,HYMTF
422,hyundai,Sonata,2021,8.1,HYMTF
423,hyundai,Santa Fe,2021,8.3,HYMTF
424,hyundai,Tucson,2008,7.7,HYMTF
425,hyundai,Santa Fe,2008,8.3,HYMTF
426,hyundai,Sonata,2018,8.4,HYMTF
427,hyundai,Santa Fe,2022,8.2,HYMTF
428,hyundai,Tucson,2022,9.0,HYMTF
