,Date,Symbol,Open
740,2010-02-17,000270.KS,22000.0
743,2010-02-17,7201.T,734.0
746,2010-02-17,7270.T,405.0
750,2010-02-17,7261.T,1105.0
752,2010-02-18,TM,72.9000015258789
753,2010-02-18,VOW3.DE,58.74663925170898
754,2010-02-18,DAI.DE,33.04499053955078
755,2010-02-18,F,11.40999984741211
756,2010-02-18,BMW.DE,29.57999992370605
757,2010-02-18,HMC,34.4900016784668
758,2010-02-18,HYMTF,17.0
760,2010-02-18,000270.KS,21650.0
763,2010-02-18,7201.T,751.0
766,2010-02-18,7270.T,413.0
770,2010-02-18,7261.T,1115.0
772,2010-02-19,TM,73.44999694824219
773,2010-02-19,VOW3.DE,58.87586212158203
774,2010-02-19,DAI.DE,31.200000762939453
775,2010-02-19,F,11.350000381469728
776,2010-02-19,BMW.DE,29.21999931335449
777,2010-02-19,HMC,33.95000076293945
778,2010-02-19,HYMTF,17.0
780,2010-02-19,000270.KS,21050.0
783,2010-02-19,7201.T,750.0
786,2010-02-19,7270.T,412.0
790,2010-02-19,7261.T,1150.0
792,2010-02-22,TM,73.18000030517578
793,2010-02-22,VOW3.DE,60.128326416015625
794,2010-02-22,DAI.DE,32.599998474121094
795,2010-02-22,F,11.359999656677246
796,2010-02-22,BMW.DE,30.645000457763672
797,2010-02-22,HMC,34.79999923706055
798,2010-02-22,HYMTF,17.0
801,2010-02-22,000270.KS,21350.0
804,2010-02-22,7201.T,746.0
808,2010-02-22,7270.T,413.0
814,2010-02-22,7261.T,1155.0
816,2010-02-23,TM,72.69000244140625
817,2010-02-23,VOW3.DE,61.62929916381836
818,2010-02-23,DAI.DE,31.684999465942383
819,2010-02-23,F,11.18000030517578
820,2010-02-23,BMW.DE,30.350000381469727
821,2010-02-23,HMC,34.310001373291016
822,2010-02-23,HYMTF,17.0
825,2010-02-23,000270.KS,21350.0
828,2010-02-23,7201.T,754.0
832,2010-02-23,7270.T,409.0
838,2010-02-23,7261.T,1135.0
840,2010-02-24,TM,72.41999816894531
841,2010-02-24,VOW3.DE,60.50605773925781
842,2010-02-24,DAI.DE,31.450000762939453
843,2010-02-24,F,11.720000267028809
844,2010-02-24,BMW.DE,29.790000915527344
845,2010-02-24,HMC,34.099998474121094
846,2010-02-24,HYMTF,17.5
849,2010-02-24,000270.KS,21550.0
852,2010-02-24,7201.T,726.0
856,2010-02-24,7270.T,404.0
862,2010-02-24,7261.T,1130.0
864,2010-02-25,TM,73.44000244140625
865,2010-02-25,VOW3.DE,61.04282760620117
866,2010-02-25,DAI.DE,30.75
867,2010-02-25,F,11.529999732971191
868,2010-02-25,BMW.DE,29.2450008392334
869,2010-02-25,HMC,33.939998626708984
870,2010-02-25,HYMTF,17.5
873,2010-02-25,000270.KS,21700.0
876,2010-02-25,7201.T,729.0
880,2010-02-25,7270.T,411.0
886,2010-02-25,7261.T,1165.0
888,2010-02-26,TM,74.69999694824219
889,2010-02-26,VOW3.DE,60.486175537109375
890,2010-02-26,DAI.DE,30.55500030517578
891,2010-02-26,F,11.829999923706056
892,2010-02-26,BMW.DE,29.69499969482422
893,2010-02-26,HMC,34.2400016784668
894,2010-02-26,HYMTF,17.5
897,2010-02-26,000270.KS,21450.0
900,2010-02-26,7201.T,705.0
904,2010-02-26,7270.T,398.0
910,2010-02-26,7261.T,1130.0
912,2010-03-01,TM,74.25
913,2010-03-01,VOW3.DE,59.88976287841797
914,2010-03-01,DAI.DE,31.14999961853028
915,2010-03-01,F,11.8100004196167
916,2010-03-01,BMW.DE,30.20499992370605
917,2010-03-01,HMC,34.560001373291016
918,2010-03-01,HYMTF,17.5
922,2010-03-01,7201.T,705.0
925,2010-03-01,7270.T,406.0
931,2010-03-01,7261.T,1160.0
932,2010-03-02,TM,74.20999908447266
933,2010-03-02,VOW3.DE,60.13826751708984
934,2010-03-02,DAI.DE,31.39999961853028
935,2010-03-02,F,12.619999885559082
936,2010-03-02,BMW.DE,30.56999969482422
937,2010-03-02,HMC,34.90999984741211
938,2010-03-02,HYMTF,17.399999618530273
941,2010-03-02,000270.KS,22050.0
944,2010-03-02,7201.T,703.0
948,2010-03-02,7270.T,406.0
954,2010-03-02,7261.T,1165.0
956,2010-03-03,TM,76.93000030517578
957,2010-03-03,VOW3.DE,60.66510009765625
958,2010-03-03,DAI.DE,31.48500061035156
959,2010-03-03,F,12.460000038146973
960,2010-03-03,BMW.DE,31.39999961853028
961,2010-03-03,HMC,34.97999954223633
962,2010-03-03,HYMTF,17.5
965,2010-03-03,000270.KS,22100.0
968,2010-03-03,7201.T,706.0
972,2010-03-03,7270.T,406.0
978,2010-03-03,7261.T,1140.0
980,2010-03-04,TM,76.54000091552734
981,2010-03-04,VOW3.DE,61.5298957824707
982,2010-03-04,DAI.DE,31.7450008392334
983,2010-03-04,F,12.779999732971191
984,2010-03-04,BMW.DE,31.5
985,2010-03-04,HMC,34.81999969482422
986,2010-03-04,HYMTF,17.75
989,2010-03-04,000270.KS,22400.0
992,2010-03-04,7201.T,702.0
996,2010-03-04,7270.T,413.0
1002,2010-03-04,7261.T,1125.0
1004,2010-03-05,TM,75.80000305175781
1005,2010-03-05,VOW3.DE,61.57959747314453
1006,2010-03-05,DAI.DE,32.0099983215332
1007,2010-03-05,F,12.920000076293944
1008,2010-03-05,BMW.DE,31.6299991607666
1009,2010-03-05,HMC,34.810001373291016
1010,2010-03-05,HYMTF,18.14999961853028
1013,2010-03-05,000270.KS,22500.0
1016,2010-03-05,7201.T,701.0
1020,2010-03-05,7270.T,420.0
1026,2010-03-05,7261.T,1135.0
1028,2010-03-08,TM,77.61000061035156
1029,2010-03-08,VOW3.DE,63.34895706176758
1030,2010-03-08,DAI.DE,32.970001220703125
1031,2010-03-08,F,12.9399995803833
1032,2010-03-08,BMW.DE,32.404998779296875
1033,2010-03-08,HMC,35.63999938964844
1034,2010-03-08,HYMTF,18.200000762939453
1037,2010-03-08,000270.KS,23050.0
1040,2010-03-08,7201.T,724.0
1044,2010-03-08,7270.T,433.0
1050,2010-03-08,7261.T,1165.0
1052,2010-03-09,TM,76.83000183105469
1053,2010-03-09,VOW3.DE,64.59148406982422
1054,2010-03-09,DAI.DE,32.900001525878906
1055,2010-03-09,F,12.829999923706056
1056,2010-03-09,BMW.DE,31.834999084472656
1057,2010-03-09,HMC,35.79999923706055
1058,2010-03-09,HYMTF,17.0
1061,2010-03-09,000270.KS,22550.0
1064,2010-03-09,7201.T,732.0
1068,2010-03-09,7270.T,439.0
1074,2010-03-09,7261.T,1175.0
1076,2010-03-10,TM,76.58999633789062
1077,2010-03-10,VOW3.DE,63.35889434814453
1078,2010-03-10,DAI.DE,32.83000183105469
1079,2010-03-10,F,12.880000114440918
1080,2010-03-10,BMW.DE,32.060001373291016
1081,2010-03-10,HMC,35.630001068115234
1082,2010-03-10,HYMTF,17.700000762939453
1085,2010-03-10,000270.KS,22200.0
1088,2010-03-10,7201.T,736.0
1092,2010-03-10,7270.T,442.0
1098,2010-03-10,7261.T,1170.0
1100,2010-03-11,TM,76.05999755859375
1101,2010-03-11,VOW3.DE,63.36883544921875
1102,2010-03-11,DAI.DE,32.88499069213867
1103,2010-03-11,F,12.789999961853027
